Version,"RVGL 21.0930a-1","P2P","Client"
Session,"03/06/23 16:11:48","MATRIX","Arcade",3,"true"
Results,"Toys in the Hood 1 R",13
#,Player,Car,Time,BestLap,Finished,Cheating
09,"RADIANCER","Off Gear","03:32:196","01:03:033","true","false"
10,"OWEOWE","Mystery","03:36:365","01:07:208","true","false"
11,"AHMA","NY 54","03:37:045","01:08:450","true","false"
12,"BONCZY","Ultima","03:37:106","01:11:346","true","false"
13,"&","Groovster","03:38:367","01:06:572","true","false"
Results,"Ghost Town 2",12
#,Player,Car,Time,BestLap,Finished,Cheating
01,"AHMA","NY 54","02:09:967","00:40:719","true","false"
02,"BGM","Wild Ride","02:11:480","00:39:865","true","false"
03,"GREY","Mongoose","02:17:386","00:42:307","true","false"
04,"ROG_97 MOBILE","Mystery","02:18:917","00:41:366","true","false"
05,"IURI","Vixen","02:23:609","00:42:469","true","false"
06,"ALDAMA757","Dr. Grudge","02:27:135","00:46:124","true","false"
07,"RADIANCER","Off Gear","02:29:237","00:42:807","true","false"
08,"BONCZY","Ultima","02:30:924","00:48:512","true","false"
09,"&","Groovster","02:32:470","00:45:130","true","false"
10,"KILABARUS","Kyarus","02:34:277","00:47:773","true","false"
11,"OWEOWE","Mystery","02:36:641","00:43:931","true","false"
12,"MATRIX","Vixen","02:36:749","00:46:419","true","false"
Results,"Castle 1",11
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","03:04:815","00:56:496","true","false"
02,"&","Groovster","03:18:251","01:03:917","true","false"
03,"FROSTTBITTEN","Phat Slug","03:26:753","01:06:233","true","false"
04,"ROG_97 MOBILE","Mystery","03:28:543","01:08:232","true","false"
05,"ALDAMA757","Dr. Grudge","03:33:353","01:04:905","true","false"
06,"MATRIX","Vixen","03:33:426","01:07:776","true","false"
07,"IURI","Vixen","03:34:943","01:09:708","true","false"
08,"RADIANCER","Off Gear","03:35:003","01:08:816","true","false"
09,"BONCZY","Ultima","03:37:661","01:09:432","true","false"
10,"OWEOWE","Mystery","03:38:170","01:07:807","true","false"
11,"GREY","Mongoose","03:40:728","01:10:077","true","false"
Results,"PetroVolt",9
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","03:57:700","01:16:350","true","false"
02,"ROG_97 MOBILE","Mystery","04:00:362","01:17:722","true","false"
03,"IURI","Vixen","04:06:605","01:18:597","true","false"
04,"FROSTTBITTEN","Phat Slug","04:13:593","01:23:639","true","false"
05,"BONCZY","Ultima","04:14:592","01:20:053","true","false"
06,"GREY","Mongoose","04:15:987","01:23:669","true","false"
07,"ALDAMA757","Phat Slug","04:26:482","01:25:582","true","false"
08,"&","Groovster","04:36:962","01:23:290","true","false"
09,"MATRIX","Vixen","08:27:421","01:21:385","false","false"
Results,"RC Stadium 2",9
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","01:39:538","00:29:271","true","false"
02,"ROG_97 MOBILE","Mystery","01:41:705","00:31:331","true","false"
03,"FROSTTBITTEN","Phat Slug","01:47:138","00:31:790","true","false"
04,"&","Groovster","01:47:931","00:32:524","true","false"
05,"GREY","Mongoose","01:49:385","00:34:418","true","false"
06,"BONCZY","Ultima","01:50:652","00:29:723","true","false"
07,"ALDAMA757","Phat Slug","01:50:896","00:33:657","true","false"
08,"IURI","Vixen","01:51:370","00:32:604","true","false"
09,"MATRIX","Vixen","02:00:847","00:36:400","true","false"
Results,"Biohazard Factory",9
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","03:31:837","01:06:046","true","false"
02,"ROG_97 MOBILE","Mystery","03:33:749","01:08:373","true","false"
03,"MATRIX","Vixen","03:39:771","01:09:839","true","false"
04,"GREY","Mongoose","03:44:444","01:12:124","true","false"
05,"IURI","Vixen","03:51:423","01:13:209","true","false"
06,"BONCZY","Ultima","03:53:213","01:13:924","true","false"
07,"&","Groovster","03:55:528","01:11:948","true","false"
08,"FROSTTBITTEN","Phat Slug","04:05:825","01:19:102","true","false"
09,"ALDAMA757","Phat Slug","04:06:306","01:17:900","true","false"
Results,"Kadish Sprint",8
#,Player,Car,Time,BestLap,Finished,Cheating
01,"IURI","Vixen","03:42:231","01:11:145","true","false"
02,"ROG_97 MOBILE","Mystery","03:49:844","01:12:967","true","false"
03,"BGM","Wild Ride","03:55:189","01:12:683","true","false"
04,"MATRIX","Vixen","04:07:878","01:16:413","true","false"
05,"FROSTTBITTEN","Phat Slug","04:11:643","01:15:456","true","false"
06,"GREY","Mongoose","04:12:034","01:19:882","true","false"
07,"&","Groovster","04:17:867","01:18:807","true","false"
08,"ALDAMA757","Phat Slug","04:30:068","01:26:208","true","false"
Results,"Venice",8
